catcher_name,player_id,team_id,age,throwing_speed,catch_to_throw_time,#_of_stolen_base_attempts_at_2nd,average_time_to_throw_to_2nd,#_players_caught_stealing_2nd,#_of_stolen_base_attempts_at_3rd,average_time_to_throw_to_3rd,#_players_caught_stealing_3rd
Jose Herrera,,109,25,83.9,0.73,11,1.94,1.96,1.92,4,1.5,1.48,1.52
Andrew Knapp,,137,30,81.5,0.71,8,1.99,1.96,2,1,1.5,,1.5
Jason Delay,,134,27,78.6,0.7,31,1.99,1.96,2,0,,,
Danny Jansen,,141,27,82.2,0.73,22,1.98,1.96,1.98,1,1.63,,1.63
Riley Adams,,120,26,85.6,0.78,15,1.95,1.96,1.95,0,,,
Daulton Varsho,,109,25,78.9,0.68,12,1.96,1.96,1.96,0,,,
Tyler Heineman,,134,31,77.1,0.63,29,1.94,1.96,1.94,0,,,
Luke Maile,,114,31,83.4,0.75,31,1.96,1.96,1.96,4,1.54,1.57,1.52
Reese McGuire,,111,27,80.2,0.67,34,1.97,1.97,1.97,1,1.5,,1.5
Seby Zavala,,145,28,82.2,0.74,14,1.97,1.97,1.97,3,1.58,1.55,1.59
Carson Kelly,,109,27,81.5,0.75,39,1.98,1.97,1.99,2,1.49,1.57,1.42
Sandy Leon,,142,33,78.1,0.67,14,1.98,1.97,1.98,0,,,
Tomás Nido,,121,28,77.4,0.63,30,1.96,1.97,1.95,3,1.53,,1.53
Travis d'Arnaud,,144,33,82.2,0.78,36,1.99,1.97,2,2,1.61,1.57,1.65
Yan Gomes,,112,34,79.4,0.68,28,1.97,1.98,1.96,3,1.53,1.58,1.43
Cal Raleigh,,136,25,83.8,0.78,47,1.99,1.98,1.99,2,1.51,1.54,1.48
Ryan Jeffers,,142,25,82.4,0.76,25,1.98,1.98,1.98,2,1.52,1.51,1.54
Alejandro Kirk,,141,23,80.3,0.73,27,1.99,1.99,1.99,3,1.52,,1.52
Curt Casali,,136,33,78.3,0.72,12,2.01,1.99,2.02,1,1.71,,1.71
Salvador Perez,,118,32,82.9,0.71,18,1.99,1.99,1.99,4,1.48,1.48,1.49
Keibert Ruiz,,120,23,79,0.73,45,2,1.99,2.01,3,1.58,1.63,1.5
Joey Bart,,137,25,82.4,0.77,22,1.97,1.99,1.97,1,1.73,1.73,
Tucker Barnhart,,116,31,79.3,0.68,37,1.99,1.99,1.98,2,1.62,1.54,1.7
Jason Castro,,117,35,80.7,0.73,11,1.97,2,1.96,1,1.56,1.56,
Omar Narváez,,158,30,79,0.72,23,2.01,2,2.01,2,1.51,1.57,1.46
Jacob Stallings,,146,32,82.3,0.76,42,2,2,2,0,,,
Jonah Heim,,140,27,83.7,0.79,46,1.99,2,1.99,5,1.54,1.5,1.54
P.J. Higgins,,112,29,78.9,0.72,15,2.03,2,2.04,1,1.52,,1.52
