PLAYERPLAYER,YEARYEAR,TEAMTEAM,GG,ABAB,RR,HH,2B2B,3B3B,HRHR,RBIRBI,BBBB,SOSO,caret-upcaret-downSBcaret-upcaret-downSB,CSCS,AVGAVG,OBPOBP,SLGSLG,OPSOPS

1HughH NicolNicolX1‌‌‌
1895,BRO,127,536,99,167,22,8,8,108,29,48,37,--,.312,.356,.427,.783
1896,BRO,108,430,70,135,23,17,1,55,18,23,37,--,.314,.344,.453,.797
1982,HOU,136,496,73,137,31,10,3,36,37,48,37,8,.276,.327,.397,.724
1999,STL,154,585,92,161,36,2,11,63,53,82,37,8,.275,.334,.400,.734
1900,PHI,140,531,132,168,4,3,0,33,115,,37,--,.316,.451,.335,.786
1961,KCA,158,611,108,171,29,6,3,45,92,38,37,9,.280,.377,.362,.739
1893,NYG,133,549,112,195,22,27,11,119,42,20,37,--,.355,.410,.554,.964
1891,STL,136,578,127,179,21,6,8,95,50,19,37,--,.310,.375,.408,.783
1887,NYG,76,295,40,78,9,3,3,37,12,21,37,--,.264,.304,.346,.650
1903,NYG,129,413,62,104,9,0,1,40,41,,37,--,.252,.348,.281,.629

2002,MIL,112,394,55,114,10,7,1,33,31,62,37,14,.289,.343,.358,.701
1909,CIN,145,523,83,162,17,17,4,86,57,,37,--,.310,.378,.430,.808
1888,CIN,121,411,72,94,12,12,3,51,61,,37,--,.229,.338,.338,.676
1922,SLB,153,585,128,194,34,11,39,155,74,31,37,20,.332,.413,.627,1.040
1921,PIT,140,521,85,161,34,4,7,56,70,30,37,12,.309,.395,.430,.825
2000,BAL,151,561,84,166,43,5,10,86,69,82,37,10,.296,.369,.444,.813
2007,SEA,161,678,111,238,22,7,6,68,49,77,37,8,.351,.396,.431,.827
1887,CIN,85,318,57,94,12,5,4,33,31,,37,--,.296,.364,.403,.767
1999,NYM,121,438,89,138,30,0,12,42,82,82,37,14,.315,.423,.466,.889
1917,SLB,135,539,60,189,30,9,2,52,30,19,37,--,.351,.388,.453,.841
1889,CLE,110,447,66,105,6,6,0,35,30,49,37,--,.235,.289,.275,.564
1978,HOU,153,565,79,178,34,9,10,83,57,57,37,9,.315,.376,.460,.836
2012,PHI,130,394,59,121,10,6,1,25,23,27,37,7,.307,.351,.371,.722
1908,CLE,131,492,70,119,8,4,1,21,76,,37,--,.242,.348,.280,.628
