Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
206,Jewel Ens,3,1929,1931,176,167,0.513,1,9,344,0,0,,2,5,4.7,0,0,0,0,0,as player,
207,Cal Ermer,2,1967,1968,145,129,0.529,2,16,276,0,0,,2,7,4.9,7,0,0,0,0,as player,
208,Jim Essian,1,1991,1991,59,63,0.484,0,-4,122,0,0,,4,4,4,1,0,0,0,0,as player,
209,Dude Esterbrook,1,1889,1889,2,8,0.2,0,-6,10,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1889
210,Johnny Evers HOF,3,1913,1924,180,192,0.484,3,-12,375,0,0,,3,8,5.6,13,0,0,0,0,as player,plyr/mgr: 1913
211,Buck Ewing HOF,7,1890,1900,489,395,0.553,19,94,903,0,0,,3,8,4.7,1,0,0,0,0,as player,plyr/mgr: 1890-1897
212,Jay Faatz,1,1890,1890,9,24,0.273,1,-15,34,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1890
213,Bibb Falk,1,1933,1933,1,0,1,0,1,1,0,0,,4,4,4,0,0,0,0,0,as player,
214,Jim Fanning,3,1981,1984,116,103,0.53,0,13,219,5,5,0.5,1,5,3,2,1,0,0,0,as player,
215,Jack Farrell,1,1881,1881,24,27,0.471,0,-3,51,0,0,,2,2,2,0,0,0,0,0,as player,plyr/mgr: 1881
216,John Farrell,7,2011,2017,586,548,0.517,0,38,1134,12,11,0.522,1,5,3,18,3,1,1,1,as player,
217,Kerby Farrell,1,1957,1957,76,77,0.497,0,-1,153,0,0,,6,6,6,4,0,0,0,0,as player,
218,John Felske,3,1985,1987,190,194,0.495,0,-4,384,0,0,,2,5,3.6,1,0,0,0,0,as player,
219,Bob Ferguson,16,1871,1887,417,516,0.447,16,-99,949,0,0,,3,10,5.5,0,0,0,0,0,as player,plyr/mgr: 1871-1884
220,José María Fernández,12,1928,1948,280,326,0.462,18,-46,624,4,1,0.8,1,7,4.1,,2,1,1,0,as player,
221,Mike Ferraro,2,1983,1986,76,98,0.437,0,-22,174,0,0,,3,7,5.3,3,0,0,0,0,as player,
222,Wally Fessenden,1,1890,1890,4,7,0.364,0,-3,11,0,0,,6,6,6,0,0,0,0,0,,
223,Freddie Fitzsimmons,3,1943,1945,104,180,0.366,2,-76,286,0,0,,7,8,7.8,1,0,0,0,0,as player,
224,Art Fletcher,5,1923,1929,237,383,0.382,3,-146,623,0,0,,2,8,7.2,12,0,0,0,0,as player,
225,Silver Flint,1,1879,1879,5,12,0.294,2,-7,19,0,0,,4,4,4,0,0,0,0,0,as player,plyr/mgr: 1879
226,Jim Fogarty,1,1890,1890,7,9,0.438,0,-2,16,0,0,,5,5,5,0,0,0,0,0,as player,plyr/mgr: 1890
227,Horace Fogel,2,1887,1902,38,72,0.345,4,-34,114,0,0,,8,8,8,0,0,0,0,0,,
228,Lee Fohl,11,1915,1926,713,792,0.474,16,-79,1521,0,0,,2,8,5,4,0,0,0,0,as player,
229,Lew Fonseca,3,1932,1934,120,196,0.38,2,-76,318,0,0,,6,8,6.6,1,0,0,0,0,as player,plyr/mgr: 1932-1933
230,Rube Foster HOF,7,1920,1926,336,195,0.633,11,141,542,0,0,,1,3,2,,3,0,3,0,,
231,Dave Foutz,4,1893,1896,264,257,0.507,11,7,532,0,0,,5,10,6.7,0,0,0,0,0,as player,plyr/mgr: 1893-1896
232,Charlie Fox,7,1970,1983,377,371,0.504,0,6,748,1,3,0.25,1,6,3.4,4,1,0,0,0,as player,
233,Terry Francona,22,1997,2022,1874,1586,0.542,0,288,3460,44,34,0.564,1,5,2.4,47,11,2,3,2,as player,
234,Herman Franks,7,1965,1979,605,521,0.537,2,84,1128,0,0,,2,5,2.8,16,0,0,0,0,as player,
235,George Frazier,1,1890,1890,51,65,0.44,1,-14,117,0,0,,6,6,6,0,0,0,0,0,,
236,Joe Frazier,2,1976,1977,101,106,0.488,0,-5,207,0,0,,3,6,3.7,3,0,0,0,0,as player,
237,Jim Fregosi,15,1978,2000,1028,1094,0.484,0,-66,2122,7,9,0.438,1,6,3.7,46,2,0,1,1,as player,
238,Jim Frey,5,1980,1986,323,287,0.53,1,36,611,7,7,0.5,1,5,2.5,13,2,0,1,1,,
239,Frankie Frisch HOF,16,1933,1951,1138,1078,0.514,30,60,2246,4,3,0.571,1,8,4.3,88,1,1,1,1,as player,plyr/mgr: 1933-1937
240,Judge Fuchs,1,1929,1929,56,98,0.364,0,-42,154,0,0,,8,8,8,0,0,0,0,0,,
241,John Gaffney,2,1886,1887,61,101,0.377,7,-40,169,0,0,,7,8,7.3,0,0,0,0,0,,
242,Matt Galante,1,1999,1999,13,14,0.481,0,-1,27,0,0,,2,2,2,0,0,0,0,0,,
243,Pud Galvin HOF,1,1885,1885,7,17,0.292,0,-10,24,0,0,,7,7,7,0,0,0,0,0,as player,plyr/mgr: 1885
244,Judy Gans,2,1924,1925,39,60,0.394,3,-21,102,0,0,,3,8,4.8,,0,0,0,0,as player,
245,John Ganzel,2,1908,1915,90,99,0.476,1,-9,190,0,0,,5,7,5.4,3,0,0,0,0,as player,plyr/mgr: 1908
246,Dave Garcia,6,1977,1982,307,311,0.497,0,-4,618,0,0,,2,7,5.7,2,0,0,0,0,,
247,Ron Gardenhire,16,2002,2020,1200,1280,0.484,0,-80,2480,6,21,0.222,1,5,2.8,84,6,0,0,0,as player,
248,Billy Gardner,6,1981,1987,330,417,0.442,0,-87,747,0,0,,2,7,4.6,12,0,0,0,0,as player,
249,Phil Garner,15,1992,2007,985,1054,0.483,1,-69,2040,13,13,0.5,2,7,3.8,44,2,0,1,1,as player,
250,Cito Gaston,12,1989,2010,894,837,0.516,0,57,1731,18,16,0.529,1,5,2.9,27,4,2,2,2,as player,
251,Bill Gatewood,2,1922,1930,41,57,0.418,2,-16,100,0,0,,5,5,5,,0,0,0,0,as player,
252,Bob Geren,5,2007,2011,334,376,0.47,0,-42,710,0,0,,2,4,3.1,10,0,0,0,0,as player,
253,Joe Gerhardt,2,1883,1890,72,61,0.541,3,11,136,0,0,,3,5,4.4,0,0,0,0,0,as player,plyr/mgr: 1883-1890
254,Doc Gessler,1,1914,1914,3,8,0.273,0,-5,11,0,0,,7,7,7,0,0,0,0,0,as player,
255,John Gibbons,11,2004,2018,793,789,0.501,0,4,1582,10,10,0.5,1,5,3.2,53,2,0,0,0,as player,
256,George Gibson,7,1920,1934,413,344,0.546,2,69,759,0,0,,2,8,2.9,7,0,0,0,0,as player,
257,Kirk Gibson,5,2010,2014,353,375,0.485,0,-22,728,2,3,0.4,1,5,3,10,1,0,0,0,as player,
258,Jim Gifford,3,1884,1886,74,136,0.352,2,-62,212,0,0,,7,11,8.6,0,0,0,0,0,,
259,George Giles,1,1935,1935,27,26,0.509,0,1,53,0,0,,5,5,5,,0,0,0,0,as player,
260,Joe Girardi,14,2006,2022,1120,935,0.545,0,185,2055,28,24,0.538,1,4,2.3,43,6,1,1,1,as player,
261,Carl Glass,3,1924,1929,68,92,0.425,3,-24,163,0,0,,6,7,6.1,,0,0,0,0,as player,
262,Jack Glasscock,2,1889,1892,35,35,0.5,1,0,71,0,0,,7,9,7.1,0,0,0,0,0,as player,plyr/mgr: 1889-1892
263,Kid Gleason,5,1919,1923,392,364,0.519,3,28,759,3,5,0.375,1,7,4.5,3,1,0,1,0,as player,
264,Preston Gomez,7,1969,1980,346,529,0.395,0,-183,875,0,0,,4,6,5.6,7,0,0,0,0,as player,
265,Fredi González,10,2007,2016,710,692,0.506,0,18,1402,1,4,0.2,1,5,2.8,26,2,0,0,0,,
266,Mike González,2,1938,1940,9,13,0.409,1,-4,23,0,0,,3,6,5.2,0,0,0,0,0,as player,
267,Joe Gordon HOF,5,1958,1969,305,308,0.498,2,-3,615,0,0,,2,9,4.2,12,0,0,0,0,as player,
268,George Gore,1,1892,1892,6,9,0.4,1,-3,16,0,0,,11,11,11,0,0,0,0,0,as player,plyr/mgr: 1892
269,Johnny Goryl,2,1980,1981,34,38,0.472,1,-4,73,0,0,,3,7,5,1,0,0,0,0,as player,
270,Charlie Gould,2,1875,1876,11,77,0.125,0,-66,88,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1875-1876
271,Hank Gowdy,1,1946,1946,3,1,0.75,0,2,4,0,0,,6,6,6,0,0,0,0,0,as player,
272,Mase Graffen,1,1876,1876,39,17,0.696,0,22,56,0,0,,2,2,2,0,0,0,0,0,,
273,Alex Grammas,3,1969,1977,137,191,0.418,0,-54,328,0,0,,3,6,6,3,0,0,0,0,as player,
274,Andy Green,4,2016,2019,274,366,0.428,0,-92,640,0,0,,4,5,4.5,12,0,0,0,0,as player,
275,Dallas Green,8,1979,1996,454,478,0.487,0,-24,932,9,7,0.562,1,7,3.3,18,2,1,1,1,as player,
276,Joe Green,2,1920,1921,18,75,0.194,3,-57,96,0,0,,8,8,8,,0,0,0,0,as player,
277,Mike Griffin,1,1898,1898,1,3,0.25,0,-2,4,0,0,,10,10,10,0,0,0,0,0,as player,plyr/mgr: 1898
278,Sandy Griffin,1,1891,1891,2,4,0.333,0,-2,6,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1891
279,Clark Griffith HOF,20,1901,1920,1491,1367,0.522,59,124,2917,0,0,,1,8,4.2,73,0,0,1,0,as player,plyr/mgr: 1901-1914
280,Burleigh Grimes HOF,2,1937,1938,131,171,0.434,4,-40,306,0,0,,6,7,6.5,15,0,0,0,0,as player,
281,Charlie Grimm,19,1932,1960,1287,1067,0.547,14,220,2368,5,12,0.294,1,8,3.3,24,3,0,3,2,as player,plyr/mgr: 1932-1936
282,Heinie Groh,1,1918,1918,7,3,0.7,0,4,10,0,0,,3,3,3,0,0,0,0,0,as player,plyr/mgr: 1918
283,Ozzie Guillen,9,2004,2012,747,710,0.513,0,37,1457,12,4,0.75,1,5,2.7,29,2,1,1,1,as player,
284,Don Gutteridge,2,1969,1970,109,172,0.388,0,-63,281,0,0,,5,6,5.5,0,0,0,0,0,as player,
285,Eddie Haas,1,1985,1985,50,71,0.413,0,-21,121,0,0,,5,5,5,1,0,0,0,0,as player,
286,Stan Hack,4,1954,1958,199,272,0.423,4,-73,475,0,0,,5,8,7,2,0,0,0,0,as player,
287,Charlie Hackett,2,1884,1885,50,99,0.336,1,-49,150,0,0,,5,7,6.5,0,0,0,0,0,,
288,Chip Hale,2,2015,2016,148,176,0.457,0,-28,324,0,0,,3,4,3.5,5,0,0,0,0,as player,
289,Blainey Hall,1,1923,1923,6,6,0.5,0,0,12,0,0,,6,6,6,,0,0,0,0,as player,
290,Bill Hallman,1,1897,1897,13,36,0.265,1,-23,50,0,0,,12,12,12,1,0,0,0,0,as player,plyr/mgr: 1897
291,Fred Haney,10,1939,1959,629,757,0.454,7,-128,1393,7,7,0.5,1,8,5,16,2,1,2,3,as player,
292,Ned Hanlon HOF,19,1889,1907,1313,1164,0.53,53,149,2530,0,0,,1,12,4.3,4,0,0,5,0,as player,plyr/mgr: 1889-1892
293,Mel Harder,2,1961,1962,3,0,1,0,3,3,0,0,,5,6,5.7,0,0,0,0,0,as player,
294,Mike Hargrove,16,1991,2007,1188,1173,0.503,2,15,2363,27,25,0.519,1,7,3.1,50,5,0,2,2,as player,
295,George Harney,1,1928,1928,18,19,0.486,0,-1,37,4,5,0.444,3,3,3,,1,0,0,0,as player,
296,Toby Harrah,1,1992,1992,32,44,0.421,0,-12,76,0,0,,4,4,4,0,0,0,0,0,as player,
297,Bud Harrelson,2,1990,1991,145,129,0.529,0,16,274,0,0,,2,5,3.7,4,0,0,0,0,as player,
298,Andy Harris,1,1926,1926,1,10,0.091,0,-9,11,0,0,,5,5,5,,0,0,0,0,as player,
299,Bucky Harris HOF,29,1924,1956,2158,2219,0.493,33,-61,4410,11,10,0.524,1,7,4.8,26,3,2,3,1,as player,plyr/mgr: 1924-1931
300,Lum Harris,8,1961,1972,466,488,0.488,2,-22,956,0,3,0,1,9,4.5,6,1,0,0,0,as player,
301,Vic Harris,11,1936,1948,547,278,0.663,20,269,845,10,15,0.4,1,4,1.7,,8,1,7,0,as player,
302,Jim Hart,3,1885,1889,202,174,0.537,7,28,383,0,0,,2,6,3.9,0,0,0,0,0,,
303,John Hart,1,1989,1989,8,11,0.421,0,-3,19,0,0,,6,6,6,0,0,0,0,0,,
304,Gabby Hartnett HOF,3,1938,1940,203,176,0.536,4,27,383,0,4,0,1,5,3.8,2,1,0,1,1,as player,plyr/mgr: 1938-1940
305,Roy Hartsfield,3,1977,1979,166,318,0.343,0,-152,484,0,0,,7,7,7,9,0,0,0,0,as player,
306,Scott Hastings,2,1871,1872,10,35,0.222,0,-25,45,0,0,,7,9,8.1,0,0,0,0,0,as player,plyr/mgr: 1871-1872
307,John Hatfield,2,1872,1873,35,31,0.53,2,4,68,0,0,,3,4,3.4,0,0,0,0,0,as player,plyr/mgr: 1872-1873
308,Grady Hatton,3,1966,1968,164,221,0.426,1,-57,386,0,0,,8,10,8.7,6,0,0,0,0,as player,
309,Buster Haywood,1,1948,1948,8,11,0.421,1,-3,20,0,0,,4,4,4,,0,0,0,0,as player,
310,Guy Hecker,1,1890,1890,23,113,0.169,2,-90,138,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1890
311,Don Heffner,1,1966,1966,37,46,0.446,0,-9,83,0,0,,7,7,7,0,0,0,0,0,as player,
312,Louie Heilbroner,1,1900,1900,23,25,0.479,2,-2,50,0,0,,5,5,5,0,0,0,0,0,,
313,Tommy Helms,2,1988,1989,28,36,0.438,0,-8,64,0,0,,2,5,3.7,1,0,0,0,0,as player,
314,Solly Hemus,3,1959,1961,190,192,0.497,2,-2,384,0,0,,3,7,5,11,0,0,0,0,as player,plyr/mgr: 1959
315,Bill Henderson,1,1884,1884,58,47,0.552,1,11,106,0,0,,4,4,4,0,0,0,0,0,,
316,Jack Hendricks,7,1918,1929,520,528,0.496,7,-8,1055,0,0,,2,8,4.8,1,0,0,0,0,as player,
317,Ed Hengel,1,1884,1884,34,39,0.466,1,-5,74,0,0,,5,5,5,0,0,0,0,0,,
318,Billy Herman HOF,4,1947,1966,189,274,0.408,2,-85,465,0,0,,7,9,8.3,4,0,0,0,0,as player,plyr/mgr: 1947
319,Buck Herzog,3,1914,1916,165,226,0.422,10,-61,401,0,0,,7,8,7.4,10,0,0,0,0,as player,plyr/mgr: 1914-1916
320,Whitey Herzog HOF,18,1973,1990,1281,1125,0.532,3,156,2409,26,25,0.51,1,6,2.6,42,6,1,3,3,as player,
321,Walter Hewett,1,1888,1888,10,29,0.256,1,-19,40,0,0,,8,8,8,0,0,0,0,0,,
322,Joe Hewitt,5,1923,1932,100,137,0.422,1,-37,238,3,4,0.429,2,10,6.1,,1,0,0,0,as player,
323,Nat Hicks,1,1875,1875,30,38,0.441,3,-8,71,0,0,,7,7,7,0,0,0,0,0,as player,plyr/mgr: 1875
324,Pinky Higgins,8,1955,1962,560,556,0.502,3,4,1119,0,0,,3,8,5.1,1,0,0,0,0,as player,
325,Dick Higham,1,1874,1874,29,11,0.725,0,18,40,0,0,,2,2,2,0,0,0,0,0,as player,plyr/mgr: 1874
326,Pete Hill HOF,5,1920,1925,141,160,0.468,3,-19,304,0,0,,2,11,5,,0,0,0,0,as player,
327,Trey Hillman,3,2008,2010,152,207,0.423,0,-55,359,0,0,,4,5,4.1,8,0,0,0,0,,
328,Vedie Himsl,1,1961,1961,10,21,0.323,1,-11,32,0,0,,6,7,6.7,0,0,0,0,0,,
329,A.J. Hinch,9,2009,2022,713,633,0.53,0,80,1346,28,22,0.56,1,5,2.6,20,4,1,2,1,as player,
330,Billy Hitchcock,5,1960,1967,274,261,0.512,0,13,535,0,0,,4,7,5.9,13,0,0,0,0,as player,
331,Butch Hobson,3,1992,1994,207,232,0.472,0,-25,439,0,0,,4,7,5.5,4,0,0,0,0,as player,
332,Gil Hodges HOF,9,1963,1971,660,753,0.467,1,-93,1414,7,1,0.875,1,10,6.2,7,1,1,1,1,as player,
333,Fred Hoey,1,1899,1899,31,55,0.36,1,-24,87,0,0,,10,10,10,0,0,0,0,0,,
334,Glenn Hoffman,1,1998,1998,47,41,0.534,0,6,88,0,0,,3,3,3,0,0,0,0,0,as player,
335,Bill Holbert,1,1879,1879,0,1,0,0,-1,1,0,0,,7,7,7,0,0,0,0,0,as player,plyr/mgr: 1879
336,Holly Hollingshead,2,1875,1884,16,66,0.195,0,-50,82,0,0,,10,12,11.5,0,0,0,0,0,as player,plyr/mgr: 1875
337,Tommy Holmes,2,1951,1952,61,69,0.469,0,-8,130,0,0,,4,7,4.8,2,0,0,0,0,as player,plyr/mgr: 1951
338,Rogers Hornsby HOF,14,1925,1953,701,812,0.463,17,-111,1530,4,3,0.571,1,8,5.1,5,1,1,1,0,as player,plyr/mgr: 1925-1937
339,Ralph Houk,20,1961,1984,1619,1531,0.514,7,88,3157,8,8,0.5,1,10,4.4,45,3,2,3,3,as player,
340,Frank Howard,2,1981,1983,93,133,0.412,0,-40,226,0,0,,6,6,6,2,0,0,0,0,as player,
341,Art Howe,14,1989,2004,1129,1137,0.498,0,-8,2266,6,9,0.4,1,6,3.4,26,3,0,0,0,as player,
342,Dan Howley,6,1927,1932,397,524,0.431,5,-127,926,0,0,,3,8,6.2,1,0,0,0,0,as player,
343,Dick Howser,8,1978,1986,507,425,0.544,1,82,933,8,15,0.348,1,3,1.5,8,4,1,1,1,as player,
344,Jesse Hubbard,1,1933,1933,20,23,0.465,1,-3,44,0,0,,7,7,7,,0,0,0,0,as player,
345,Eddie Huff,1,1926,1926,6,36,0.143,0,-30,42,0,0,,6,6,6,,0,0,0,0,as player,
346,George Huff,1,1907,1907,2,6,0.25,0,-4,8,0,0,,7,7,7,0,0,0,0,0,,
347,Miller Huggins HOF,17,1913,1929,1413,1134,0.555,23,279,2570,18,15,0.545,1,8,3.2,26,6,3,6,0,as player,plyr/mgr: 1913-1916
348,Billy Hunter,2,1977,1978,146,108,0.575,0,38,254,0,0,,2,2,2,6,0,0,0,0,as player,
349,Clint Hurdle,17,2002,2019,1269,1345,0.485,1,-76,2615,10,9,0.526,2,5,3.5,64,4,0,1,1,as player,
350,Tim Hurst,1,1898,1898,39,111,0.26,4,-72,154,0,0,,12,12,12,0,0,0,0,0,,
351,Fred Hutchinson,12,1952,1964,830,827,0.501,9,3,1666,1,4,0.2,1,8,4.2,45,1,0,1,2,as player,plyr/mgr: 1952-1953
352,Brandon Hyde,5,2011,2022,214,333,0.391,0,-119,547,0,0,,4,5,4.6,9,0,0,0,0,,
353,Arthur Irwin,8,1889,1899,416,427,0.493,20,-11,863,0,0,,1,12,6.1,0,0,0,1,0,as player,plyr/mgr: 1889-1894
354,Harry Jeffries,1,1928,1928,7,18,0.28,0,-11,25,0,0,,8,8,8,,0,0,0,0,as player,
355,Dan Jennings,1,2015,2015,55,69,0.444,0,-14,124,0,0,,3,3,3,3,0,0,0,0,,
356,Hughie Jennings HOF,16,1907,1925,1184,995,0.543,23,189,2202,4,12,0.25,1,7,3.5,24,3,0,3,0,as player,plyr/mgr: 1907-1918
357,Bill Johnson,1,1928,1928,2,7,0.222,0,-5,9,0,0,,5,5,5,,0,0,0,0,as player,
358,Darrell Johnson,8,1974,1982,472,590,0.444,1,-118,1063,6,4,0.6,1,7,4.8,31,1,0,1,1,as player,
359,Davey Johnson,17,1984,2013,1372,1071,0.562,2,301,2445,25,26,0.49,1,5,1.9,36,6,1,1,1,as player,
360,Dicta Johnson,2,1922,1923,5,16,0.238,1,-11,22,0,0,,5,8,6.8,,0,0,0,0,as player,
361,Judy Johnson HOF,1,1932,1932,11,17,0.393,0,-6,28,0,0,,7,7,7,,0,0,0,0,as player,
362,Roy Johnson,1,1944,1944,0,1,0,0,-1,1,0,0,,4,4,4,0,0,0,0,0,as player,
363,Tim Johnson,1,1998,1998,88,74,0.543,1,14,163,0,0,,3,3,3,2,0,0,0,0,as player,
364,Walter Johnson HOF,7,1929,1935,529,432,0.55,5,97,966,0,0,,2,5,3.3,0,0,0,0,0,as player,
365,Fielder Jones,10,1904,1918,683,582,0.54,32,101,1297,4,2,0.667,1,8,3.5,31,1,1,1,0,as player,plyr/mgr: 1904-1915
366,Ruben Jones,4,1927,1946,129,142,0.476,4,-13,275,1,4,0.2,2,5,3.9,,1,0,0,0,as player,
367,Eddie Joost,1,1954,1954,51,103,0.331,2,-52,156,0,0,,8,8,8,1,0,0,0,0,as player,plyr/mgr: 1954
368,Mike Jorgensen,1,1995,1995,42,54,0.438,0,-12,96,0,0,,4,4,4,1,0,0,0,0,as player,
369,Bill Joyce,3,1896,1898,179,122,0.595,15,57,316,0,0,,3,7,5.3,6,0,0,0,0,as player,plyr/mgr: 1896-1898
370,Billy Jurges,2,1959,1960,59,63,0.484,0,-4,122,0,0,,5,7,5.7,0,0,0,0,0,as player,
371,Gabe Kapler,5,2018,2022,378,330,0.534,0,48,708,2,3,0.4,1,4,2.8,5,1,0,0,0,as player,
372,Eddie Kasko,4,1970,1973,345,295,0.539,0,50,640,0,0,,2,3,2.5,11,0,0,0,0,as player,
373,Johnny Keane,6,1961,1966,398,350,0.532,1,48,749,4,3,0.571,1,10,4.1,11,1,1,1,0,,
374,Joe Kelley HOF,5,1902,1908,338,321,0.513,10,17,669,0,0,,3,6,4.5,25,0,0,0,0,as player,plyr/mgr: 1902-1908
375,Kick Kelly,2,1887,1888,86,89,0.491,3,-3,178,0,0,,4,7,4.7,0,0,0,0,0,as player,
376,King Kelly HOF,3,1887,1891,173,148,0.539,9,25,330,0,0,,1,7,4,0,0,0,1,0,as player,plyr/mgr: 1887-1891
377,Tom Kelly,16,1986,2001,1140,1244,0.478,1,-104,2385,16,8,0.667,1,7,3.8,5,2,2,2,2,as player,
378,Gabby Kemp,2,1938,1939,22,24,0.478,0,-2,46,0,0,,5,6,5.5,,0,0,0,0,as player,
379,Bob Kennedy,4,1963,1968,264,278,0.487,3,-14,545,0,0,,6,8,7.1,5,0,0,0,0,as player,
380,Jim Kennedy,1,1890,1890,26,73,0.263,1,-47,100,0,0,,9,9,9,0,0,0,0,0,,
381,Kevin Kennedy,4,1993,1996,309,273,0.531,0,36,582,0,3,0,1,3,1.8,1,1,0,0,0,,
382,Harry Kenyon,1,1929,1929,16,57,0.219,3,-41,76,0,0,,7,7,7,,0,0,0,0,as player,
383,John Kerins,2,1888,1890,12,12,0.5,0,0,24,0,0,,3,7,4.2,0,0,0,0,0,as player,plyr/mgr: 1888-1890
384,Joe Kerrigan,1,2001,2001,17,26,0.395,0,-9,43,0,0,,2,2,2,0,0,0,0,0,as player,
385,Don Kessinger,1,1979,1979,46,60,0.434,0,-14,106,0,0,,5,5,5,0,0,0,0,0,as player,plyr/mgr: 1979
386,Bill Killefer,9,1921,1933,524,622,0.457,3,-98,1149,0,0,,4,8,5.7,11,0,0,0,0,as player,plyr/mgr: 1921
387,Bruce Kimm,1,2002,2002,33,45,0.423,0,-12,78,0,0,,5,5,5,1,0,0,0,0,as player,
388,Clyde King,5,1969,1982,234,229,0.505,1,5,464,0,0,,2,5,3.5,3,0,0,0,0,as player,
389,Malachi Kittridge,1,1904,1904,1,16,0.059,1,-15,18,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1904
390,Lou Klein,3,1961,1965,65,82,0.442,0,-17,147,0,0,,7,9,8.1,0,0,0,0,0,as player,
391,Johnny Kling,1,1912,1912,52,101,0.34,2,-49,155,0,0,,8,8,8,3,0,0,0,0,as player,plyr/mgr: 1912
392,Otto Knabe,2,1914,1915,131,177,0.425,6,-46,314,0,0,,3,8,5.5,13,0,0,0,0,as player,plyr/mgr: 1914-1915
393,Lon Knight,2,1883,1884,127,78,0.62,1,49,206,0,0,,1,7,4.1,0,0,0,1,0,as player,plyr/mgr: 1883-1884
394,Ray Knight,3,1996,2003,125,137,0.477,0,-12,262,0,0,,3,5,3,5,0,0,0,0,as player,
395,Mark Kotsay,1,2022,2022,60,102,0.37,0,-42,162,0,0,,5,5,5,4,0,0,0,0,as player,
396,Jack Krol,2,1978,1980,1,2,0.333,0,-1,3,0,0,,4,5,4.7,0,0,0,0,0,,
397,Karl Kuehl,1,1976,1976,43,85,0.336,0,-42,128,0,0,,6,6,6,1,0,0,0,0,,
398,Harvey Kuenn,3,1975,1983,160,118,0.576,1,42,279,6,6,0.5,1,5,3.3,3,1,0,1,1,as player,
399,Joe Kuhel,2,1948,1949,106,201,0.345,1,-95,308,0,0,,7,8,7.5,6,0,0,0,0,as player,
400,Tony La Russa HOF,35,1979,2022,2884,2499,0.536,4,385,5387,71,61,0.538,1,7,2.6,93,15,3,6,6,as player,
401,Marcel Lachemann,3,1994,1996,161,170,0.486,0,-9,331,0,0,,2,4,3.1,1,0,0,0,0,as player,
402,Rene Lachemann,9,1981,2002,428,560,0.433,0,-132,988,0,0,,3,7,5.2,6,0,0,0,0,as player,
403,Nap Lajoie HOF,5,1905,1909,377,309,0.55,14,68,700,0,0,,2,6,3.8,3,0,0,0,0,as player,plyr/mgr: 1905-1909
404,Fred Lake,3,1908,1910,163,180,0.475,6,-17,349,0,0,,3,8,5.5,2,0,0,0,0,as player,plyr/mgr: 1910
405,Gene Lamont,8,1992,2000,553,562,0.496,1,-9,1116,2,4,0.333,1,6,3.1,23,1,0,0,0,as player,
406,Hal Lanier,3,1986,1988,254,232,0.523,0,22,486,2,4,0.333,1,5,3,6,1,0,0,0,as player,
407,Henry Larkin,1,1890,1890,34,45,0.43,0,-11,79,0,0,,7,7,7,0,0,0,0,0,as player,plyr/mgr: 1890
408,Tommy Lasorda HOF,21,1976,1996,1599,1439,0.526,2,160,3040,31,30,0.508,1,6,2.5,48,7,2,4,4,as player,
409,Arlie Latham,1,1896,1896,0,3,0,0,-3,3,0,0,,11,11,11,0,0,0,0,0,as player,plyr/mgr: 1896
410,Jumbo Latham,2,1875,1882,45,48,0.484,0,-3,93,0,0,,2,8,3.2,0,0,0,0,0,as player,plyr/mgr: 1875-1882
411,Cookie Lavagetto,5,1957,1961,271,384,0.414,2,-113,657,0,0,,5,8,7.2,0,0,0,0,0,as player,
412,Tom Lawless,1,2014,2014,11,13,0.458,0,-2,24,0,0,,4,4,4,0,0,0,0,0,as player,
413,Bob Leadley,3,1888,1891,76,86,0.469,4,-10,166,0,0,,5,7,5.7,0,0,0,0,0,,
414,Jim Lefebvre,6,1989,1999,417,442,0.485,1,-25,860,0,0,,4,6,4.8,19,0,0,0,0,as player,
415,Bob Lemon HOF,8,1970,1982,430,403,0.516,0,27,833,15,9,0.625,1,6,3.3,6,2,1,2,1,as player,
416,Jim Lemon,1,1968,1968,65,96,0.404,0,-31,161,0,0,,10,10,10,0,0,0,0,0,as player,
417,Bill Lennon,1,1871,1871,5,9,0.357,0,-4,14,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1871
418,Jim Leyland,22,1986,2013,1769,1728,0.506,2,41,3499,44,40,0.524,1,6,3,73,8,1,3,3,,
419,Nick Leyva,3,1989,1991,148,189,0.439,1,-41,338,0,0,,3,6,4.9,6,0,0,0,0,,
420,Bob Lillis,4,1982,1985,276,261,0.514,0,15,537,0,0,,2,5,3.2,1,0,0,0,0,as player,
421,Clarence Lindsay,1,1925,1925,4,10,0.286,0,-6,14,0,0,,8,8,8,,0,0,0,0,as player,
422,Johnny Lipon,1,1971,1971,18,41,0.305,0,-23,59,0,0,,6,6,6,0,0,0,0,0,as player,
423,Grady Little,4,2002,2007,358,290,0.552,0,68,648,6,9,0.4,2,4,2.5,9,2,0,0,0,,
424,John Henry Lloyd HOF,8,1921,1929,253,236,0.517,10,17,499,0,0,,1,6,3.8,,0,0,0,0,as player,
