Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
50,Bud Black,15,2007,2022,1066,1166,0.478,0,-100,2232,1,4,0.2,2,5,3.6,34,2,0,0,0,as player,
51,Lena Blackburne,2,1928,1929,99,133,0.427,0,-34,232,0,0,,5,7,6.3,2,0,0,0,0,as player,plyr/mgr: 1929
52,Ray Blades,3,1939,1948,107,85,0.557,3,22,195,0,0,,2,3,2.2,1,0,0,0,0,as player,
53,Walter Blair,1,1915,1915,1,1,0.5,0,0,2,0,0,,6,6,6,0,0,0,0,0,as player,plyr/mgr: 1915
54,Ossie Bluege,5,1943,1947,375,394,0.488,3,-19,772,0,0,,2,8,4.6,4,0,0,0,0,as player,
55,Bruce Bochy,25,1995,2019,2003,2029,0.497,0,-26,4032,44,33,0.571,1,5,3,77,8,3,4,4,as player,
56,Tim Bogar,1,2014,2014,14,8,0.636,0,6,22,0,0,,5,5,5,0,0,0,0,0,as player,
57,John Boles,4,1996,2001,205,241,0.46,0,-36,446,0,0,,3,5,3.7,5,0,0,0,0,,
58,Tommy Bond,1,1882,1882,2,4,0.333,0,-2,6,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1882
59,Aaron Boone,5,2018,2022,427,281,0.603,0,146,708,14,17,0.452,1,2,1.5,26,5,0,0,0,as player,
60,Alonzo Boone,1,1948,1948,39,37,0.513,2,2,78,0,0,,3,3,3,,0,0,0,0,as player,
61,Bob Boone,6,1995,2003,371,444,0.455,0,-73,815,0,0,,2,5,4.1,8,0,0,0,0,as player,
62,Steve Boros,3,1983,1986,168,200,0.457,0,-32,368,0,0,,4,4,4,1,0,0,0,0,as player,
63,Jim Bottomley HOF,1,1937,1937,21,56,0.273,1,-35,78,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1937
64,Lou Boudreau HOF,16,1942,1960,1162,1224,0.487,18,-62,2404,4,2,0.667,1,8,4.8,17,1,1,1,1,as player,plyr/mgr: 1942-1952
65,Larry Bowa,6,1987,2004,418,435,0.49,0,-17,853,0,0,,2,6,3.2,29,0,0,0,0,as player,
66,Frank Bowerman,1,1909,1909,22,54,0.289,0,-32,76,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1909
