last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Cuas, Jose,621016,,93.1,,82.1,87.2,,,
Gutierrez, Vladimir,661269,92.8,,,82.2,82.9,78.4,,
Chapman, Aroldis,547973,97.5,100.2,,85.7,,,88.1,
Thompson, Ryan,657044,91.6,90,87.2,79.5,81.1,,,
Arano, Víctor,644364,94.5,93.9,,84.8,,,,
Graterol, Brusdar,660813,99.4,99.7,95.6,90.6,,,,
Blach, Ty,621389,,91.1,85,,80.7,79.2,,
Moran, Jovani,663558,93.4,,,81.2,83.3,,,
Thornton, Trent,663423,93.8,92.9,,82.2,,79.7,,
Danish, Tyler,641501,91.2,90.9,,87.1,84.4,80.9,,
Fleming, Josh,676596,91.3,91.2,84.3,,82.2,79.5,,
Sánchez, Cristopher,650911,,93,,84.8,84.4,,,
Flaherty, Jack,656427,93.3,91,88.2,83.8,86.2,77.2,,
Harvey, Hunter,640451,98.3,96.7,,86.7,,82.8,89.4,
Swarmer, Matt,664161,90.5,,,82.1,85.7,,,
Warren, Art,605521,93.5,,,85.5,,,,
Koenig, Jared,657649,89.4,89.2,82.9,,82.8,77.6,,
Liberatore, Matthew,669461,93.7,92.8,,86,85.9,74.3,,
Moronta, Reyes,606625,95.3,,,82.1,89,,,
Peters, Dillon,596071,92.9,92.5,,84.7,84.8,77.3,,
Brazoban, Huascar,623211,97.3,96.7,87.7,,89,,,
McGee, Jake,459429,94.4,,,85.2,,,,
Ramirez, Yohan,670990,93.8,95.7,,82.7,,,,
Sulser, Cole,642121,91.9,,,84,83.2,77.8,,
Moreta, Dauri,664294,95.9,96,,85.7,87.8,,,
Jefferies, Daulton,641726,92.4,92.5,89.6,,86.1,80.2,,
Strzelecki, Peter,657265,93.5,,,82.9,83.3,,,
Sands, Cole,663485,91.6,,84.3,,85.4,78.6,84.9,
Price, David,456034,92.1,92.4,87.9,,83.9,78.4,,
Nelson, Kyle,669459,91.9,,,84.3,,77,,
Martinez, Seth,661527,91.9,90.9,86.1,79.6,86.5,,,
Waldichuk, Ken,686610,94.1,,,81,82.4,75.2,,
Snider, Collin,676092,94.1,96,,86.3,89.5,,,
Lamet, Dinelson,659275,95.4,95.8,,86.3,,,,
Ferguson, Caleb,657571,94.8,,,,,78.3,,
Baumann, Mike,657508,95.8,,,91.5,88.7,84,,
Castano, Daniel,641447,92,89.4,86.5,81.2,84,,,
Thompson, Zack,668868,94.8,,88.1,,87.7,75,,
McCarty, Kirk,668948,92.5,90.9,88.5,82.7,84.7,77.1,,
Ortega, Oliver,661383,95.9,96.6,94,,,82.3,,
Gilbert, Tyler,656457,89.5,89.7,86.2,,,76.2,81.7,
Naughton, Packy,676050,92.8,92.6,,80.9,84.4,,,
Miley, Wade,489119,89.1,88.3,85.1,78.6,81.4,73.5,,
Wentz, Joey,666214,92.4,,83.4,,84.1,75.4,,
Barlow, Joe,669618,94.6,94.7,,87.3,,81.3,,
Newcomb, Sean,656794,94.3,94.2,88.3,,86.7,78.8,,
Banda, Anthony,607455,95.2,93,,84.7,86.6,81.1,,
Head, Louis,545343,93.6,,,82.5,88.6,,,
Morejon, Adrian,670970,96.9,,,87.6,84.3,80.1,,
Dunn, Justin,643290,92.1,,,83.5,87.9,79.8,,
Jiménez, Dany,666204,93.9,,92.8,81.9,,,,
Pop, Zach,647315,,96.5,,85,89.3,,,
Rodriguez, Elvin,660730,93.1,93.1,,82.9,86.6,78.5,,
Ort, Kaleb,672391,96.3,95.7,,86,89.8,,,
Rainey, Tanner,663432,97,,,88.4,89.1,,,
Castro, Miguel,612434,,97.9,,85.8,92.4,,,
Garza Jr., Ralph,621248,91.2,87.8,89.4,77.5,83.1,80,,
Hernández, Jonathan,642546,96.4,98,,87.3,90.1,,,
Mills, Wyatt,670090,91.8,91.3,,80.8,,,,
Silseth, Chase,681217,95.4,94.3,,83.7,,78.9,86.3,
Wesneski, Hayden,669713,93.1,92,88.7,81.2,87,,,
Anderson, Chase,502624,91.9,92.5,90.2,83.6,82.9,77.8,,
Wendelken, J.B.,605525,95,94.4,,85.9,85.5,80.4,,
McFarland, T.J.,519008,,88.8,,79.5,81.8,,,
Wittgren, Nick,621295,91.4,91,88.1,82,84,,,
Ginkel, Kevin,656464,96.4,,,85.4,84.2,,,
Hjelle, Sean,663546,91.7,93.8,,,88.4,85.7,,
Shreve, Chasen,592741,90.6,,,80.9,,,82.9,
May, Dustin,669160,98.1,97.3,92.7,,88.6,85.5,,
Grove, Michael,675627,94.4,,,85,,79.1,,
Yajure, Miguel,664337,92.9,92.9,90.2,81.4,89.2,81.9,,
Detwiler, Ross,446321,92.4,91.8,86,,86.8,77,,
Overton, Connor,656818,91,90.8,,81.9,84.9,79.5,,
Gustave, Jandel,594311,96.1,95.9,,86.2,,,,
Almonte, Yency,622075,95.9,95.8,,84,89.6,,,
May, Trevor,543507,96.1,96.3,,84.8,87.3,,87.2,
Misiewicz, Anthony,664948,93.4,,88.9,83.6,,79.2,,
Uelmen, Erich,657272,93.7,93.3,,83,87.2,,,
Kelley, Trevor,665001,,89.9,,83.6,80.7,78.6,,
Bummer, Aaron,607481,,94.5,86.2,82,89,,,
Stout, Eric,657770,92.1,,,80.1,87.4,77.8,,
Smith, Joe,501925,86,83.6,,76.9,,,,
De Los Santos, Yerry,660787,95,95.3,,83.9,,,,
Poteet, Cody,547001,94.9,94,,85.7,87.7,78,,
Vespi, Nick,663989,88.5,,,83.6,,80.5,,
Young, Alex,622065,91.6,90.7,84.4,,86.2,82.5,,
Baz, Shane,669358,96,,,87.7,88.5,82.3,,
Poppen, Sean,664092,,94.6,,83.5,85.3,,,
Faucher, Calvin,676534,,95.3,,88,,85.3,,
Holderman, Colin,670059,96.5,96,89.9,86.1,86.4,,,
Toussaint, Touki,657053,93.1,91.9,,,,75.6,86.6,
Cisnero, José,542585,95.5,95.1,,85.4,89.6,,,
Martin, Corbin,656686,94,,,88.9,87.8,84.1,,
Robles, Hansel,570663,96,95.9,,88.7,90.2,,,
Brigham, Jeff,656257,94.5,,,82.2,,,,
Sborz, Josh,622250,97,,,87.7,,85.4,,
Rogers, Josh,642028,90.4,89.9,,80.8,84.7,,,
VerHagen, Drew,572403,94.9,94.7,91.3,81.4,89.5,78.2,,
Merryweather, Julian,657240,97.3,,,87.7,81.6,80.3,,
Borucki, Ryan,621366,,95.1,,87.7,84.6,,,
Medina, Adonis,658431,93.1,93.5,,86.4,87.1,80.4,,
Varland, Louie,686973,93.8,,89,83.3,83.8,,,
Santillan, Tony,663574,96.2,,,86.5,,,,
Hudson, Daniel,543339,97,96.3,,88.8,88.4,,,
Morris, Cody,663752,94.6,,88.2,,81.9,79.6,,
Hembree, Heath,592390,94.2,,,84.2,,79.5,,
Ryu, Hyun Jin,547943,89.3,,86,,79.6,71.9,,
Cano, Yennier,666974,95.7,95.3,,87.5,90.2,,,
Arihara, Kohei,685503,92,90.5,88,81.7,81.2,74.5,82.7,
Gose, Anthony,543238,97,,,86.1,88,,,
Patiño, Luis,672715,94.6,93.7,,84.3,85.4,,,
O'Day, Darren,503285,86,85.9,,78.2,,,,
Nogosek, Stephen,668665,95,,89.1,81.5,87.4,76,,
González, Chi Chi,592346,92.6,92.1,,84.3,85.5,80.7,,
Kinley, Tyler,641755,95.4,92.9,,89.5,88.8,,,
Espinoza, Anderson,659262,93.8,,,80.7,84,,,
Goudeau, Ashton,623485,92.4,,,,84.8,77.5,,
Nardi, Andrew,677053,94.3,,,83.9,89,,,
Seabold, Connor,657756,92.1,,,85.6,80.4,78.7,,
Norwood, James,656803,96.6,96.3,,88.4,,,90.7,
Jameson, Drey,686753,95.9,94.4,,84.7,86.3,76.7,,
Thompson, Mason,666168,95.5,95.8,,84.4,88.2,,,
Paddack, Chris,663978,93,,,83.5,82.5,76,,
Ruiz, Norge,650204,93.1,,,86.7,85.4,,,
Sousa, Bennett,656986,94,,,87.3,,,,
Tetreault, Jackson,676194,94.6,,86.6,,85.9,82.2,,
Tapia, Domingo,593619,97.9,97.4,,88,88.9,,,
Thornburg, Tyler,592804,93.5,,,83.4,84.7,76.1,,
Barnes, Jacob,606930,95.2,,89,84.3,,,,
Sulser, Beau,676641,92.8,,88.1,,83.7,80.3,,
Frías, Luis,666818,96.9,,,85.4,89.7,,,
Law, Derek,571882,95.1,94.8,90.7,85.8,87.9,77.1,,
Fairbanks, Pete,664126,99,95.8,,85.8,,,,
Tinoco, Jesus,622786,96.1,96,,88.2,90.2,84.9,,
Hunter, Tommy,488984,93.8,93.2,91.3,,,84.5,,
Cleavinger, Garrett,664076,96,95.1,,82.7,,76.8,,
Feyereisen, J.P.,656420,92.2,,,84,87.1,,,
Bruihl, Justin,677865,,88.7,86.4,77.5,,,,
Smith, Chad,663385,,95.6,,85.2,90.3,,,
Romo, Sergio,489265,85.1,85.3,,77,79.9,,,
Chargois, JT,608638,95.3,96.5,,87.3,,,,
Fernández, Junior,658551,98.8,98.7,,88.9,90.9,,,
Bolaños, Ronald,671790,93,93.1,,84.1,87.1,77,,
Guerra, Javy,642770,98.3,97.2,,88.3,,,,
DeSclafani, Anthony,543101,92.6,92.2,,87.4,86,80.9,,
Widener, Taylor,642203,94,,87.7,85,84.8,80.1,,
Kolarek, Adam,592473,89.4,88.1,,77.2,81.7,,,
Garcia, Bryan,650530,,92.9,,85.6,85.5,,,
Kowar, Jackson,663804,95.8,,,82.9,85.7,,,
Brown, Hunter,686613,96.6,95.3,,93.2,,83.3,89.2,
Peguero, Elvis,665625,,96.4,,91,,,,
Reed, Jake,596082,90.9,91.7,,81.8,82.2,,,
Llovera, Mauricio,661440,95.6,95.4,,83.7,,,,
Bradley, Archie,605151,93.7,93.2,,,85.6,79.7,,
Taylor, Blake,642130,92.6,,,84.4,,,,
Mills, Alec,621219,88.6,88.5,,76.1,78.9,65.8,,
Allard, Kolby,663465,91.1,,84.9,,82.8,74.2,,
Lemoine, Jacob,621082,92.9,93.1,,83.9,85.9,,,
Speier, Gabe,642100,93.6,93.7,,81.9,87.3,,,
Lawrence, Casey,596271,90.9,90,85.7,81.3,83.2,78.6,,
Selman, Sam,572125,89.3,90.4,,79.3,,,,
Yacabonis, Jimmy,642231,,93.7,,81.6,87.7,,,
Uceta, Edwin,670955,91.9,93.5,,86.9,88.3,81,,
Szapucki, Thomas,663378,95.2,,,,87,80,,
Valdez, Phillips,570488,,94.1,,84,86.9,,,
Steckenrider, Drew,608716,94.1,,,85.1,87,81.2,,
Perdomo, Luis,606131,,93.8,,85.2,,,87.5,
Farrell, Luke,608652,91.1,,,82.5,85,78.6,,
Dugger, Robert,667498,89.4,89.9,,77.6,81.3,72.6,,
Johnson, Pierce,572955,94.8,,,,,84.3,,
Crick, Kyle,605195,92.2,92.1,,79.7,,,,
Grimm, Justin,518748,92.6,,,81.7,,82,,
Ortiz, Luis,682847,98.4,,,87.7,90.9,,,
Bender, Anthony,669622,98.3,97.6,,84.9,90.7,,,
Alvarez, Jose,501625,91.4,90.8,,80.3,81.5,,,
Whitley, Kodi,676831,93.4,,,82.8,83.5,,,
Beasley, Jeremy,676886,95.4,,,82.1,,,87.3,
Romero, JoJo,668941,95.5,95.2,90,84,86.5,,,
Hall, DL,669084,96.2,,,87.4,85,80.7,,
Hoeing, Bryan,663773,,93.1,,83.3,87.3,80.3,,
Cousins, Jake,664776,,95.7,,82.9,89.5,,,
Warren, Austin,681810,93.6,93.5,,86.2,89.1,,,
Marte, Jose,665896,96.5,96,89.4,88.1,89.6,,,
Gillaspie, Logan,670810,95.2,,,82.1,86.3,81.7,,
Cruz, Fernando,518585,94.4,93.4,,86.7,,,81.7,
Castro, Anthony,621593,94.8,95.5,,84.4,87.3,,,
Scott, Tayler,605463,94.1,93.5,,83.9,89.2,,,
Nelson, Ryne,669194,94.8,,,82.5,81.8,76.9,,
Zeuch, T.J.,643615,91.8,91.9,86.3,80.8,85.6,,,
