last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Mahle, Tyler,641816,93.2,,85.5,83.9,,,85.4,
Kirby, George,669923,95.3,94.7,88.3,85.5,86,80.8,,
Thompson, Zach,605507,92.3,92.2,86.8,,85.7,76.6,,
Gray, Jon,592351,95.9,,,84.9,88.7,77.8,,
Gomber, Austin,596295,91,,,84.3,82,75.8,,
Stripling, Ross,548389,91.9,89.9,,87.1,82.6,76.1,,
Steele, Justin,657006,92.2,91.6,,82.1,87.5,78.1,,
Syndergaard, Noah,592789,94.1,93.6,,84.8,88.5,76.4,,
Lynn, Lance,458681,93,91.5,89,86.6,85.8,82,,
Gonsolin, Tony,664062,93.1,,,87.5,,80.7,83.5,
Kopech, Michael,656629,94.9,,,84.3,85.2,78.4,,
Anderson, Ian,666120,94,93.5,,,88.2,81.7,,
Bradish, Kyle,680694,94.6,95.3,,86.9,89.9,83.2,,
Hill, Rich,448179,88.5,86.1,84.2,69.2,82.7,71.9,,
Wacha, Michael,608379,93,92.6,88.8,,84.3,74.7,,
Kremer, Dean,665152,93.5,91.7,88,,83.8,76.5,,
Rogers, Trevor,669432,94.6,94.9,,80.7,85.7,,,
Clevinger, Mike,605182,93.6,93.2,86.6,79.9,86.3,76.8,,
Skubal, Tarik,669373,94.1,94.8,,89.3,83.6,76.9,,
Peterson, David,656849,93.7,93.2,,84.4,85.8,78.5,,
Ashby, Aaron,676879,95.5,95.7,,83.5,89.1,79.7,,
Thompson, Keegan,624522,93.5,92.8,89.8,83.9,86.1,81.3,,
Espino, Paolo,502179,88.5,,,77.7,83.6,71.3,,
Gray, Sonny,543243,92.1,92,83.4,81.6,87.1,78.7,,
Houser, Adrian,605288,94.3,93.8,,85,85.4,81.1,,
Kikuchi, Yusei,579328,94.9,,91.1,86.5,87,,,
Kershaw, Clayton,477132,90.7,90.8,,86.6,83.8,73.2,,
Wilson, Bryse,669060,92.7,92.1,,83.4,85.1,77.2,,
Junis, Jakob,596001,90.8,91.9,85.6,83.1,84.7,,,
Odorizzi, Jake,543606,92.1,,87.6,82.6,,71.9,85.1,
Heasley, Jonathan,669169,93.4,93.1,,85.6,84.9,78.5,,
Archer, Chris,502042,93,,,88.7,87,81.7,,
Hearn, Taylor,621368,94.8,93.8,88.7,84.9,87.6,,,
Suarez, José,660761,92.7,91.7,,81.7,82.4,78,,
Blackburn, Paul,621112,91.5,91.7,87.1,79.1,86,78.8,,
Voth, Austin,608723,93.5,,89.5,83.6,87.2,77.5,,
Hutchison, Drew,571800,92.4,92.7,,86,86.5,,,
Ashcraft, Graham,668933,,97.2,97.3,85.8,89.8,,,
Pallante, Andre,669467,95.2,94.8,,86.9,83.1,76.5,,
Minor, Mike,501985,90.4,89.9,,85.4,84.2,79.2,,
Eovaldi, Nathan,543135,95.7,,90.6,85.9,,78.3,87.8,
Smyly, Drew,592767,,92.6,88.6,,82.6,78.7,,
Martinez, Nick,607259,93.4,93.3,88.6,,79.7,81.7,,
White, Mitch,669952,93.7,94.2,,85.4,87.2,80.2,,
Sampson, Adrian,592716,92.5,91.9,84.9,83.1,85.1,,,
Lodolo, Nick,666157,94.4,94.2,,,88.3,81.5,,
Feltner, Ryan,663372,94.5,93.5,,84.4,83.8,77.9,,
Lorenzen, Michael,547179,94.6,93.9,90.4,83.4,85.7,81.3,,
Wells, Tyler,669330,93.5,,,87.5,86.7,77.8,,
Luzardo, Jesús,666200,96.3,95.7,,,87.2,83.7,,
Watkins, Spenser,657093,91.4,90.9,87.1,78.4,86,76.8,,
Ureña, José,570632,96.1,95.6,,86.8,90.2,,,
Severino, Luis,622663,96.3,96,90.4,85.2,88.8,,,
Alexander, Tyler,641302,90.1,90.1,85.5,77.7,82.8,,,
Contreras, Roansy,672710,95.6,,,83.8,89.7,78.9,,
Civale, Aaron,650644,90.7,91.3,86.3,80.4,,75.9,85.5,
Senzatela, Antonio,622608,94.2,92.8,,86.1,87,78.2,,
Rodriguez, Eduardo,593958,91.7,91.7,88.7,82.7,85.5,,,
Garrett, Braxton,666129,91.4,90.9,,84.1,85.9,78.7,,
Williams, Trevor,592866,91.2,89,,83.2,84.4,78.6,,
Crowe, Wil,640444,95.1,94.4,,87.6,85.9,81.6,,
Yarbrough, Ryan,642232,,86.7,82.3,,78.6,71.3,,
Peralta, Freddy,642547,92.6,,,80.3,85.9,75.8,,
Hendricks, Kyle,543294,86.9,86.5,,,79.9,72.7,,
Burke, Brock,656271,95,93.5,,87.2,88.1,,,
Crawford, Kutter,676710,94.6,,88.8,85.2,86.6,79.7,,
Falter, Bailey,663559,91.4,91,,83.5,83.1,76.6,,
Oller, Adam,670124,93.3,93.6,89.5,84.3,86.5,80.5,,
Brieske, Beau,689225,94.3,93.6,,86.2,82,78.1,,
Velasquez, Vince,592826,93.2,91.9,,84.7,88.1,81.5,,
Scott, Tanner,656945,96.9,,,89.2,,,,
Gore, MacKenzie,669022,94.7,,,87.4,84.8,80.8,,
Moore, Matt,519043,93.9,,,,85,83.6,,
Cessa, Luis,570666,93.3,93.6,,82.9,87.8,,,
Akin, Keegan,669211,93.5,,,85.3,84.1,75.1,,
Smith, Caleb,592761,91.9,,,85.4,83.6,78.9,,
Sánchez, Aníbal,434671,89.9,89.1,87.3,83.2,79.9,75.4,,
Heaney, Andrew,571760,93,,,83.4,85,,,
Ramírez, Erasmo,541640,93.7,93.1,89.2,,85.4,80.6,,
Cabrera, Edward,665795,96,95.8,,86.8,92.5,83.8,,
Coleman, Dylan,669395,97.5,98,,83.3,,,,
Adon, Joan,672851,95,94.9,,86.2,87.4,79.7,,
Nelson, Nick,656793,96.3,,,89.9,87.9,81.9,,
Chavez, Jesse,445926,90.6,91.2,89.1,,85.5,76.9,,
Barlow, Scott,605130,93.6,92.6,,84.1,,78.6,,
Winckowski, Josh,670174,93.7,94,88.6,84.8,89.9,,,
Eflin, Zach,621107,93.1,92.7,90,85.6,87,78.3,,
Baker, Bryan,641329,96.2,,87.3,,84,,,
Cishek, Steve,518553,89.3,89.8,,76.5,83.1,,,
De Jong, Chase,608328,92.8,93.4,,83.6,86.4,77.7,,
Diekman, Jake,518617,95.6,95.3,,81.4,86.4,,,
Rogers, Tyler,643511,83.2,83.5,,72.1,,,,
Whitlock, Garrett,676477,95.1,95.3,,83.2,84.6,,,
Keuchel, Dallas,572971,87.9,87.2,85.2,77,79.2,,,
